5/09/2023,Jun-23,CCEA,AS Level,SCH31,Chemistry, Unit 3 Practical ,Morning,1hr 15m
5/10/2023,Jun-23,CCEA,AS Level,SPH31,Physics, Unit 3 Practical ,Morning,1hr
5/11/2023,Jun-23,CCEA,A Level,ACH31,Chemistry, Unit 3 Practical ,Morning,1hr 15m
5/12/2023,Jun-23,CCEA,A Level,APH31,Physics, Unit 3 Practical ,Morning,1hr
5/12/2023,Jun-23,CCEA,AS Level,SBY11,Biology, Unit 1 ,Afternoon,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SEC11,Economics, Unit 1 ,Morning,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SFM11,Further Mathematics, Unit 1 ,Afternoon,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SEP21,Spanish, Unit 2 Section A ,Morning,40m
5/15/2023,Jun-23,CCEA,AS Level,SEP22,Spanish, Unit 2 Section B & C ,Morning,1hr 20m
5/16/2023,Jun-23,CCEA,AS Level,SCH14,Chemistry, Unit 1 ,Morning,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SDT11,Digital Technology, Unit 1 ,Afternoon,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SMX21,Moving Image Arts, Unit 2 ,Morning,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SGG11,Geography, Unit 1 ,Afternoon,1hr 15m
5/17/2023,Jun-23,CCEA,AS Level,SGM21,German, Unit 2 Section A ,Morning,40m
5/17/2023,Jun-23,CCEA,AS Level,SHY11,History, Unit 1 ,Afternoon,1hr 30m
5/17/2023,Jun-23,CCEA,AS Level,SGM22,German, Unit 2 Section B & C ,Morning,1hr 20m
5/17/2023,Jun-23,CCEA,AS Level,SPH11,Physics, Unit 1 ,Morning,1hr 45m
5/18/2023,Jun-23,CCEA,AS Level,SEL12,English Literature, Unit 1 ,Morning,2hrs
5/18/2023,Jun-23,CCEA,AS Level,SMT11,Mathematics, Unit 1 ,Afternoon,1hr 45m
5/18/2023,Jun-23,CCEA,AS Level,SNF11,Nutrition and Food Science, Unit 1 ,Afternoon,1hr 30m
5/19/2023,Jun-23,CCEA,AS Level,SBU11,Business Studies, Unit 1 ,Morning,1hr 30m
5/19/2023,Jun-23,CCEA,AS Level,SRE11,Religious Studies, Unit 1 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SFR21,French, Unit 2 Section A ,Morning,40m
5/19/2023,Jun-23,CCEA,AS Level,SRE21,Religious Studies, Unit 2 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SFR22,French, Unit 2 Sections B & C ,Morning,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SRE31,Religious Studies, Unit 3 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,STE11,T & D Systems & Control, Unit 1 Core ,Afternoon,1hr
5/19/2023,Jun-23,CCEA,AS Level,STE12,T & D Systems & Control, Unit 1 Options ,Afternoon,1hr
5/22/2023,Jun-23,CCEA,AS Level,SEC21,Economics, Unit 2 ,Morning,1hr 30m
5/22/2023,Jun-23,CCEA,AS Level,SEP31,Spanish, Unit 3 ,Morning,1hr
5/22/2023,Jun-23,CCEA,AS Level,SDT21,Digital Technology, Unit 2 ,Afternoon,1hr 30m
5/22/2023,Jun-23,CCEA,AS Level,SHC31,Health & Social Care, Unit 3 ,Afternoon,2hrs
5/23/2023,Jun-23,CCEA,A Level,AEC11,Economics, Unit 1 ,Morning,2hrs
5/23/2023,Jun-23,CCEA,AS Level,SFM21,Further Mathematics, Unit 2 ,Afternoon,1hr 30m
5/23/2023,Jun-23,CCEA,AS Level,SAL21,Sports Science, Unit 2 ,Morning,2hrs
5/23/2023,Jun-23,CCEA,AS Level,SHY21,History, Unit 2 ,Afternoon,1hr 30m
5/23/2023,Jun-23,CCEA,AS Level,SCH24,Chemistry, Unit 2 ,Morning,1hr 30m
5/24/2023,Jun-23,CCEA,A Level,AGP11,Government & Politics, Unit 1 ,Morning,2hrs 15m
5/24/2023,Jun-23,CCEA,A Level,AAL21,Sports Science, Unit 2 ,Afternoon,2hrs
5/24/2023,Jun-23,CCEA,AS Level,SGG21,Geography, Unit 2 ,Morning,1hr 15m
5/24/2023,Jun-23,CCEA,AS Level,SPH21,Physics, Unit 2 ,Afternoon,1hr 45m
5/24/2023,Jun-23,CCEA,AS Level,SIR21,Irish, Unit 2 Section A ,Morning,40m
5/24/2023,Jun-23,CCEA,AS Level,SIR22,Irish, Unit 2 Sections B & C ,Morning,1hr 20m
5/25/2023,Jun-23,CCEA,A Level,APH11,Physics, Unit 1 ,Morning,2hrs
5/25/2023,Jun-23,CCEA,A Level,ABU11,Business Studies, Unit 1 ,Afternoon,2hrs
5/25/2023,Jun-23,CCEA,AS Level,SBY21,Biology, Unit 2 ,Morning,1hr 30m
5/25/2023,Jun-23,CCEA,AS Level,SET11,Environmental Technology, Unit 1 ,Afternoon,1hr 30m
5/25/2023,Jun-23,CCEA,AS Level,SZ021,Life & Health Sciences, Unit 2 ,Morning,1hr 30m
5/25/2023,Jun-23,CCEA,AS Level,SRE41,Religious Studies, Unit 4 ,Afternoon,1hr 20m
5/25/2023,Jun-23,CCEA,AS Level,SRE51,Religious Studies, Unit 5 ,Afternoon,1hr 20m
5/25/2023,Jun-23,CCEA,AS Level,SRE61,Religious Studies, Unit 6 ,Afternoon,1hr 20m
5/26/2023,Jun-23,CCEA,A Level,AFM11,Further Maths, Unit 1 ,Morning,2hr 15m
5/26/2023,Jun-23,CCEA,A Level,AGG11,Geography, Unit 1 ,Afternoon,1hr 30m
5/26/2023,Jun-23,CCEA,AS Level,SDV11,Software Systems Development, Unit 1 ,Morning,2hrs
5/26/2023,Jun-23,CCEA,AS Level,SBU21,Business Studies, Unit 2 ,Afternoon,1hr 30m
5/26/2023,Jun-23,CCEA,AS Level,SEL21,English Literature, Unit 2 ,Morning,1hr
5/26/2023,Jun-23,CCEA,AS Level,SMU31,Music, Unit 3 Paper 1 ,Afternoon,1hr
5/30/2023,Jun-23,CCEA,A Level,ACH14,Chemistry, Unit 1 ,Morning,2hrs
5/30/2023,Jun-23,CCEA,A Level,AHY11,History, Unit 1 ,Afternoon,1hr 15m
5/30/2023,Jun-23,CCEA,AS Level,SGM31,German, Unit 3 ,Morning,1hr
5/30/2023,Jun-23,CCEA,AS Level,SMT21,Mathematics, Unit 2 ,Afternoon,1hr 15m
5/30/2023,Jun-23,CCEA,AS Level,SNF21,Nutrition and Food Science, Unit 2 ,Morning,1hr 30m
5/31/2023,Jun-23,CCEA,A Level,AEL11,English Literature, Unit 1 ,Morning,1hr 30m
5/31/2023,Jun-23,CCEA,A Level,AHC31,Health & Social Care, Unit 3 ,Afternoon,2hrs
5/31/2023,Jun-23,CCEA,AS Level,SBY31,Biology, Unit 3 Theory ,Morning,1hr
5/31/2023,Jun-23,CCEA,AS Level,SGP11,Government & Politics, Unit 1 ,Afternoon,1hr 15m
5/31/2023,Jun-23,CCEA,AS Level,SMU32,Music, Unit 3 Paper 2 ,Morning,2hrs
5/31/2023,Jun-23,CCEA,AS Level,SPB11,Prof Business Services, Unit 1 ,Afternoon,1hr 30m
6/1 /2023,Jun-23,CCEA,A Level,ABY11,Biology, Unit 1 ,Morning,2hrs 15m
6/1 /2023,Jun-23,CCEA,A Level,ADV11,Software Systems Development, Unit 1 ,Afternoon,2hrs
6/1 /2023,Jun-23,CCEA,AS Level,SCH32,Chemistry, Unit 3 Theory ,Morning,1hr 15m
6/1 /2023,Jun-23,CCEA,AS Level,SGG31,Geography, Unit 3 ,Afternoon,1hr
6/2 /2023,Jun-23,CCEA,A Level,AEP21,Spanish, Unit 2 Section A ,Morning,45m
6/2 /2023,Jun-23,CCEA,A Level,AGG21,Geography, Unit 2 ,Afternoon,1hr 30m
6/2 /2023,Jun-23,CCEA,A Level,AEP22,Spanish, Unit 2 Section B ,Morning,2hrs
6/2 /2023,Jun-23,CCEA,AS Level,SIR31,Irish, Unit 3 ,Afternoon,1hr
6/2 /2023,Jun-23,CCEA,A Level,AET11,Environmental Technology, Unit 1 ,Morning,2hrs
6/2 /2023,Jun-23,CCEA,AS Level,SPH32,Physics, Unit 3 Theory ,Morning,1hr
6/2 /2023,Jun-23,CCEA,AS Level,SRE71,Religious Studies, Unit 7 ,Morning,1hr 20m
6/5 /2023,Jun-23,CCEA,A Level,AEC21,Economics, Unit 2 ,Morning,2hrs
6/5 /2023,Jun-23,CCEA,A Level,AFM21,Further Maths, Unit 2 ,Afternoon,2hrs 15m
6/5 /2023,Jun-23,CCEA,AS Level,SFR31,French, Unit 3 ,Morning,1hr
6/5 /2023,Jun-23,CCEA,AS Level,SZ031,Life & Health Sciences, Unit 3 ,Afternoon,1hr 30m
6/6 /2023,Jun-23,CCEA,A Level,AEL21,English Literature, Unit 2 ,Morning,2hrs
6/6 /2023,Jun-23,CCEA,A Level,AMT11,Mathematics, Unit 1 ,Afternoon,2hrs 30m
6/6 /2023,Jun-23,CCEA,A Level,AGM21,German, Unit 2 Section A ,Morning,45m
6/6 /2023,Jun-23,CCEA,A Level,AGM22,German, Unit 2 Section B ,Morning,2hrs
6/6 /2023,Jun-23,CCEA,AS Level,SHC51,Health & Social Care, Unit 5 ,Morning,2hrs
6/6 /2023,Jun-23,CCEA,AS Level,SHC71,Health & Social Care, Unit 7 ,Morning,2hrs
6/7 /2023,Jun-23,CCEA,A Level,AFR21,French, Unit 2 Section A ,Morning,45m
6/7 /2023,Jun-23,CCEA,A Level,ATE11,Technology & Design, Unit 1 ,Afternoon,2hrs
6/7 /2023,Jun-23,CCEA,A Level,AFR22,French, Unit 2 Section B ,Morning,2hrs
6/7 /2023,Jun-23,CCEA,AS Level,SRE81,Religious Studies, Unit 8 ,Afternoon,1hr 20m
6/7 /2023,Jun-23,CCEA,A Level,**AJR11,Journalism, Unit 1 ,Morning,2hrs
6/7 /2023,Jun-23,CCEA,AS Level,SPB31,Prof Business Services, Unit 3 ,Morning,1hr 30m
6/8 /2023,Jun-23,CCEA,A Level,AHY21,History, Unit 2 ,Morning,2hrs 30m
6/8 /2023,Jun-23,CCEA,A Level,ABU21,Business Studies, Unit 2 ,Afternoon,2hrs
6/8 /2023,Jun-23,CCEA,AS Level,SZ051,Life & Health Sciences, Unit 5 ,Morning,1hr 30m
6/8 /2023,Jun-23,CCEA,AS Level,SGP21,Government & Politics, Unit 2 ,Afternoon,1hr 45m
6/9 /2023,Jun-23,CCEA,A Level,APH21,Physics, Unit 2 ,Morning,2hrs
6/9 /2023,Jun-23,CCEA,A Level,AMU31,Music, Unit 3 Aural Perception ,Afternoon,1hr 15m
6/9 /2023,Jun-23,CCEA,A Level,ARE11,Religious Studies, Unit 1 ,Afternoon,2hrs
6/9 /2023,Jun-23,CCEA,A Level,ARE21,Religious Studies, Unit 2 ,Afternoon,2hrs
6/9 /2023,Jun-23,CCEA,A Level,ARE31,Religious Studies, Unit 3 ,Afternoon,2hrs
6/2 /2023,Jun-23,CCEA,A Level,ACH24,Chemistry, Unit 2 ,Morning,2hrs
6/2 /2023,Jun-23,CCEA,A Level,ADT11,Digital Technology, Unit 1 ,Afternoon,2hrs 30m
6/2 /2023,Jun-23,CCEA,A Level,AIR21,Irish, Unit 2 Section A ,Morning,45m
6/2 /2023,Jun-23,CCEA,A Level,APB11,Prof Business Services, Unit 1 ,Afternoon,2hrs
6/2 /2023,Jun-23,CCEA,A Level,AIR22,Irish, Unit 2 Section B ,Morning,2hrs
6/3 /2023,Jun-23,CCEA,A Level,AGG31,Geography, Unit 3 ,Morning,1hr 30m
6/3 /2023,Jun-23,CCEA,A Level,AMT21,Mathematics, Unit 2 ,Afternoon,1hr 30m
6/4 /2023,Jun-23,CCEA,A Level,AMX21,Moving Image Arts, Unit 2 ,Morning,2hrs 30m
6/4 /2023,Jun-23,CCEA,A Level,ANF11,Nutrition & Food Science, Unit 1 ,Afternoon,2hrs 30m
6/4 /2023,Jun-23,CCEA,A Level,AZ021,Life & Health Sciences, Unit 2 ,Morning,1hr 45m
6/5 /2023,Jun-23,CCEA,A Level,AEP31,Spanish, Unit 3 ,Morning,1hr
6/5 /2023,Jun-23,CCEA,A Level,AHC61,Health & Social Care, Unit 6 ,Afternoon,2hrs
6/5 /2023,Jun-23,CCEA,A Level,AHC71,Health & Social Care, Unit 7 ,Afternoon,2hrs
6/6 /2023,Jun-23,CCEA,A Level,ABY21,Biology, Unit 2 ,Morning,2hrs 15m
6/6 /2023,Jun-23,CCEA,A Level,AGP21,Government & Politics, Unit 2 ,Afternoon,1hr 30m
6/9 /2023,Jun-23,CCEA,A Level,AFR31,French, Unit 3 ,Morning,1hr
6/9 /2023,Jun-23,CCEA,A Level,ARE41,Religious Studies, Unit 4 ,Afternoon,2hrs
6/9 /2023,Jun-23,CCEA,A Level,AZ031,Life & Health Sciences, Unit 3 ,Morning,1hr 45m
6/9 /2023,Jun-23,CCEA,A Level,ARE51,Religious Studies, Unit 5 ,Afternoon,2hrs
6/9 /2023,Jun-23,CCEA,A Level,ARE61,Religious Studies, Unit 6 ,Afternoon,2hrs
6/0 /2023,Jun-23,CCEA,A Level,ACH32,Chemistry, Unit 3 Theory ,Morning,1hr 15m
6/0 /2023,Jun-23,CCEA,A Level,AMU32,Music, Unit 3 Written Paper ,Afternoon,2hrs
6/1 /2023,Jun-23,CCEA,A Level,AZ041,Life & Health Sciences, Unit 4 ,Morning,1hr 45m
6/1 /2023,Jun-23,CCEA,A Level,AIR31,Irish, Unit 3 ,Afternoon,1hr
6/2 /2023,Jun-23,CCEA,A Level,ABY31,Biology, Unit 3 Theory ,Morning,1hr 15m
6/2 /2023,Jun-23,CCEA,A Level,APB21,Prof Business Services, Unit 2 ,Afternoon,2hrs
6/3 /2023,Jun-23,CCEA,A Level,ARE71,Religious Studies, Unit 7 ,Morning,2hrs
6/3 /2023,Jun-23,CCEA,A Level,AGM31,German, Unit 3 ,Afternoon,1hr
6/6 /2023,Jun-23,CCEA,A Level,APH32,Physics, Unit 3 Theory ,Morning,1hr
6/6 /2023,Jun-23,CCEA,A Level,AZ051,Life & Health Sciences, Unit 5 ,Afternoon,1hr 45m
6/6 /2023,Jun-23,CCEA,A Level,ARE81,Religious Studies, Unit 8 ,Morning,2hrs
